Area ;Latitude;Longitude
Abbey Wood;51.4864;0.1109
Aberfeldy Village;51.513;-0.006
Acton, London;51.513519;-0.270661
Acton Green, London;51.510515;-0.262668
Acton Vale, London;51.511;-0.258
Addington, London;51.3583;-0.0305
Addiscombe;51.381;-0.0663
Adelphi, London;51.5091666666667;-0.1225
Agar Town;51.5388888888889;-0.131944444444444
Albany Park, Bexley;51.4264;0.1026
Albertopolis;51.4980555555556;-0.176666666666667
Aldborough Hatch;51.58355;0.10102165
Aldwych;51.5132;-0.1167
Alperton;51.5405;-0.2994
Anerley;51.4147;-0.067
Angel, London;51.5321;-0.1066
Aperfield;51.3069;0.0448
Archway, London;51.566;-0.1338
Ardleigh Green;51.5833;0.2165
Arkley;51.6477;-0.2311
Arnos Grove;51.6163;-0.1286
Ashburton, London;51.387849;-0.067509
Avery Hill;51.451434;0.076128
Bakers Arms;51.575523;-0.012596
Balham;51.4434;-0.1525
Bandonhill;51.3636;-0.133445
Bankside;51.5082;-0.1001
Barking, London;51.54;0.08
Barking Riverside;51.5228;0.1124
Barkingside;51.585833;0.084444
Barnehurst;51.4613;0.169
Barnes, London;51.474;-0.236
Barnes Cray;51.4578;0.196
Barnsbury;51.5442;-0.1171
Barwell, London;51.354725;-0.319215
Battersea;51.46377;-0.16771
Bayswater;51.5095;-0.1929
Beam Park;51.524;0.1685
Beam Reach;51.5199;0.1688
Beckenham;51.408;-0.022
Beckton;51.5146;0.0673
Becontree;51.5487;0.1427
Becontree Heath;51.563595;0.152614
Beddington;51.3734;-0.1241
Bedfont;51.45;-0.44
Bedford Park, London;51.500099;-0.261699
Belgravia;51.49795;-0.15453
Bell Green, London;51.430775;-0.033592
Bellenden Road;51.4687;-0.0726
Bellingham, London;51.4311;-0.0245
Belmont, Harrow;51.6013;-0.31929
Belmont, Sutton;51.34328;-0.20239
Belsize Park;51.5449;-0.1632
Belvedere, London;51.4856;0.1541
Benhilton;51.372;-0.191
Bermondsey;51.4986;-0.0757
Berry's Green;51.3136;0.0621
Berrylands;51.393;-0.287
Bethnal Green;51.5275;-0.066
Bexley;51.441;0.149
Bexley Riverside;51.47;0.17
Bexleyheath;51.459;0.138
Bickley;51.4003;0.0466
Biggin Hill;51.3127;0.0336
Blackfen;51.4508;0.09255
Blackfriars, London;51.512;-0.104
Blackheath, London;51.47;0.01
Blackwall, London;51.5063;-0.0034
Blendon, London;51.447053;0.123575
Bloomsbury;51.5262;-0.1178
Botany Bay, London;51.6765;-0.1232
Bounds Green;51.6064;-0.1246
Bow, London;51.5298;-0.0288
Bow Common;51.51801;-0.021093
Bowes Park;51.601;-0.114
Brackenbury Village;51.499;-0.232
Brent Cross;51.577;-0.219
Brent Park;51.551965;-0.2603
Brentford;51.486;-0.31
